miles,average_fuel_price,fuel_surcharge,cross_ratio,ltr_start_state,ltr_end_state,team_driver,new_year,holiday,shipment_price
479,2.929,121.74583329999999,0.97749657,10.31,3.79,0,0,0,13.5
447,2.715,96.6265,1.0278710229999999,9.3,1.92,0,0,1,13.5
479,2.7889999999999997,112.72466670000001,0.977490373,28.58,12.45,0,0,1,13.5
492,2.9130000000000003,125.296,1.004025705,9.35,6.54,1,0,0,14.0
294,2.782,68.747,1.001172346,28.58,12.45,0,1,1,14.4
489,2.8710000000000004,120.294,0.997903597,9.41,4.91,1,0,0,15.0
601,2.714,128.9145,0.992841855,9.3,1.92,1,0,1,19.5
290,2.887,72.30666667,0.987550954,9.35,6.54,0,0,0,9.0
283,2.7489999999999997,60.89216667,0.9637135170000001,8.09,1.14,0,0,0,8.5
454,2.938,116.678,1.043967437,8.13,12.4,0,0,1,14.25
492,2.441,82.574,1.004019339,4.63,0.98,1,0,0,14.0
601,2.8939999999999997,149.4486667,0.992841855,9.41,4.91,1,0,0,19.5
601,2.929,152.75416669999998,0.992841855,10.31,3.79,1,0,0,19.5
479,2.8939999999999997,119.11133329999998,0.97749657,9.41,4.91,0,0,0,14.0
456,2.748,98.19200000000001,1.048566412,9.3,1.92,0,0,1,14.25
464,2.528,85.45333333,1.066962314,8.09,1.14,0,0,1,14.25
479,2.782,112.00616670000001,0.97749657,9.35,6.54,0,0,1,13.5
479,3.028,130.3678333,0.97749657,8.76,7.98,0,0,0,15.0
294,2.9130000000000003,74.872,1.001172346,9.35,6.54,0,0,0,10.0
601,2.9389999999999996,154.55716669999998,0.992841855,8.13,12.4,1,0,1,19.5
479,2.858,117.5146667,0.977490373,9.41,4.91,0,0,0,15.0
488,2.42,80.60133333,0.99585658,4.63,0.98,1,0,0,13.5
493,3.1630000000000003,146.01016669999998,1.004955205,8.76,7.98,1,0,1,15.5
601,2.725,126.00966670000001,0.992841855,8.09,1.14,1,0,1,20.0
448,2.8539999999999996,109.984,1.03017051,9.35,6.54,0,0,1,13.5
465,2.7889999999999997,109.43,1.069261802,8.17,3.61,0,0,1,14.25
447,2.795,105.4175,1.0278710229999999,8.17,3.61,0,0,1,13.5
488,2.9130000000000003,124.27733329999998,0.995862894,9.35,6.54,1,0,0,14.5
479,2.8539999999999996,117.5945,0.97749657,9.35,6.54,0,0,1,13.5
294,2.782,68.747,1.001172346,9.35,6.54,0,0,1,9.0
488,2.74,104.7573333,0.99585658,9.3,1.92,1,0,1,13.5
601,2.898,151.2516667,0.992841855,8.13,12.4,1,0,0,20.0
447,3.028,121.6585,1.0278710229999999,8.76,7.98,0,0,1,11.5
602,2.9389999999999996,153.209,0.994493838,9.41,4.91,1,0,0,19.5
464,2.5269999999999997,84.912,1.066962314,5.55,1.35,0,0,0,14.25
602,2.782,140.76766669999998,0.994493838,9.35,6.54,1,0,1,19.5
447,2.9389999999999996,114.9535,1.0278710229999999,8.13,12.4,0,0,1,13.5
489,2.938,125.67299999999999,0.997903597,8.13,12.4,1,0,1,15.0
464,2.778,108.344,1.066962314,28.58,12.45,0,1,1,17.25
601,2.898,151.2516667,0.992841855,8.13,12.4,1,0,1,19.5
283,2.929,71.92916667,0.9637135170000001,9.35,6.54,0,0,0,10.0
447,2.7939999999999996,106.23700000000001,1.0278710229999999,28.58,12.45,0,0,0,13.5
601,2.887,149.8493333,0.992841855,9.35,6.54,1,0,0,20.0
447,2.7939999999999996,106.23700000000001,1.0278710229999999,28.58,12.45,0,0,0,13.5
601,2.714,128.9145,0.992841855,9.3,1.92,1,0,0,19.5
465,2.7489999999999997,100.0525,1.069261802,8.09,1.14,0,0,0,14.25
602,2.938,154.714,0.994493838,8.13,12.4,1,0,1,19.5
479,2.7119999999999997,101.8673333,0.97749657,9.3,1.92,0,0,0,13.5
491,2.748,105.72866670000002,1.001978649,9.3,1.92,1,0,1,14.0
479,2.906,120.30883329999999,0.97749657,9.41,4.91,0,0,0,14.0
447,2.929,113.6125,1.0278710229999999,10.31,3.79,0,0,0,13.5
489,2.519,89.324,0.99789727,5.55,1.35,1,0,1,13.5
488,2.9130000000000003,124.27733329999998,0.995862894,9.35,6.54,1,0,0,16.0
602,3.0610000000000004,167.657,0.994493838,8.76,7.98,1,0,1,12.0
